,text,DA
111696,"the amount of energy you get from, {F uh, } -/",%
111712,"{D Well, } ther-, -/",%
111717,"-- {C and } they've been recycling at their school.  /{D Well, } she wanted me to just wait and let her dump them off tomorrow. /",S
111719,{C But } they were filled with beer cans <laughter>. /,S
111721,"{C and } I hated to take a big old sack,  {E I mean, } [ one time, + ] {E I mean, } like a lawn bag --",S
111723,"-- full of them.  /{D Like } I, - /no,  /we'll just taking them up there and put them in the bins anyway. /",%
111725,"They had tickets at their school that they recycle {C either } newspapers {C or } cans,  /{C and } I think that's all. /",S
111730,Uh-huh. /,B
111731,"-- and stuff.  /{C So } they're getting into it.  /I don't know what they get for the tickets, though.  /<<talking to someone off the phone>> What do you get for the tickets, if you bring stuff?  /<talking> {F Oh, } the class that gets the most tickets gets a party </talking>. /",%
111736,"{C And } I know that there's a glass plant up here,  /{C and } they recycle glass,  /{C and, } {D you know, } we recycle old aluminum cans and all that kind of stuff. /",S
111746,"{C Or } we play games, like board games.  /We buy board games.  /{D You know, } it's just different things, whatever, {D you know, }  /we vote on it,  /{C and } whatever the dorm would want, that's what we buy. /",S
111749,"{C And } we were just, {F um, } not aware that this was a problem, that we ever would need to recycle. /",S
111751,"Of course, you just threw it away. /",S
111753,"{C So, } a little different.  /{C And } I wanted to do this thing that you can get through Target, to recycle.  /I had my school do it,  /{C but } my principal said since we're doing this thing called Operation Desert Shield, we're sending letters to all these servicemen and making video tapes and all that <laughter>. /",S
111755,"The whole school, {D you know, } - /it was just this big project,  /she didn't want to get into that.  /{C And } I could do it in the center,  /{C and } I just never got around to it. /",S
111761,"{C And } his mother is carrying this on.  /{C And } you can get the information to set it up, {D you know } --",S
111763,"-- and join,  /you don't have to join it as a group or anything, I don't guess. /",%
111771,That's a department store. /,S
111773,Kind of like K Mart --,S
111775,"-- except it's a little better than what K Mart sells, I think. /",%
111782,Uh-huh. /,B
111783,"{D Well, } they're doing that here, too, now that I think about it <talking>.  <<man's voice in background>> Once every so many weeks,  /{C and } you have to pull out all the slicks,  /{C and } you have to wrap them up with string. /",S
111785,"{C And, } I think that's all they're picking up.  /{C But } {D you know, } {D like } in Minnesota, they've got their bins where you put plastics and your bottles. /",S
111788,{F Um. }  I never heard of that <talking> <<people in background>>. /,S
111797,I don't know.  /{C But } I located another one today on the way to work. /,B
111798,"Yeah,  /{F uh, } we have places where we go  /{C and } [ we, + what we ] do is we unload our cans.  /It's like a conveyor belt,  /{C and } the belt separates the aluminum ones from the steel ones because it has a magnet on it.  /{C And then } they weigh, {F uh, } your aluminum cans,  /{C and then } you get money for your aluminum cans. /",B
111802,Uh-huh. /,B
111803,"I don't know.  /I'm trying  /{C but, }",B
111807,I'm not that dedicated. /,S
111809,{C But. } -/,%
111817,{D So. } -/,%
111829,"{C And, } {D you know, } they go all the time.  /It's like they would go almost every day to the store.  /{C And } they had their little bags --",S
111831,"-- way back then,  and fill it up.  /{C And } they had this little bitty old teeny refrigerators. /",%
111841,"{F Oh } definitely.  /There's no. - /Let's see,  /we've had the funding,  /we've run out of money.  /We've frozen the money.  /Right?  /{C And } they had until the fifteenth of April to come up some formula that would be more equitable to different districts according to finances, because the poor districts were getting less money, so not as good an education. /",aa
111851,"<Laughter> {D Well, } it's going to hit us. /",S
111855,We have too many administrators --,S
111857,-- in some of these big districts. /,%
111873,"I would hope so,  /{E I mean } you've been together a little bit longer than we have. /",S
111878,"I've never been there, {F um. } /",S
111882,Uh-huh  /<child>.,B
111883,-- we take off on. /,%
111889,{C So } she's into this. /,S
111911,"I agree with you.  /I think it had something to do with deregulation,  /{C but } I believe, {F uh, } more of it was just greed. /",aa
111913,"{D Well, } -/",%
111917,"{D you know, }  /{C and } the list goes on and on.",%
111921,Much less for criminals that should be indicted. /,%
111924,"Not all of it,  /I don't know how much he lost,  /{C but, } {F uh, } they were just buying property and buying all kinds of real estate and thinking that there was a bottomless pit  /{C and } [ it always would, + it always would ] increase, {D you know, }  /it always would, {F uh, } {F uh, } be more than what you paid for it  /{C and } they just never even got conservative with our money at all. /",S
111926,Right. /,B
111927,"{C And, } everyone forgets that there are several of these people that are wanted by the federal government currently and are overseas where extradition is merely a funny American word. /",S
111929,"I, - /as far as being a Republican or a Democrat, I think no American could stand for criminal action. /",%
111935,"{C And, } if people are making money, people can spend money, /",S
111941,"{C And, } for what they would cost - /{C and } we weren't producing anything. /",S
111943,"We, as Americans weren't producing anything.  /It was all inflation. /",S
111945,"{C And, } I'm sorry we don't get into a real argument over it,  /we agree too closely,  /# {C but, } #",S
111951,Remember all we're doing is delivering pizzas to each other. /,S
111954,"# {D Well, } # I do have a lot of confidence in [ the, + the ] American people and the economy and everything else.  /[ I, +  I ] feel bad when I see the inefficiency, even here at T I, {D you know, }  /{C and } I think that the, - /[ it, + it ] still, - /a lot of the workers don't understand that, {F uh, } they need to put out the best that they can because it comes right back to them, {D you know. } /",S
111957,"[ with Jap-, + with the Japanese. ] /",%
111961,"{F Uh, } {C and } I'm nonexempt. /",S
111973,"{C And, } {F uh, } I am degreed, though nonexempt. /",S
111985,Times are bad. /,S
111987,"<Laughter>  # It's, # -/",%
111991,They told facilities they could not work. /,S
111995,"[ {C And, } + {C and, } ] as far as [ our, + {D you know, } our ] conversation goes, I would really be interested to know how much of T I's problems now are related to,",S
112001,to realize that a lot of people out there are trying to retire on their home values. /,%
112003,"{F Uh, } one of our # senior, # -/",S
112007,Our economy in Colorado Springs fell completely apart. /,S
112010,"[ it, + it, ] - /I die every time companies like General Dynamics, - /[ they, + they ] lost several contracts  /[ {C and, } + {C and, } ] I don't know if you noticed yesterday, you probably don't pay attention to the Bell Helicopter, {D you know, }  /they were going to have big, {F uh, } award,  /{C and } Secorski got it.  Which was Boeing Secorski, [ this + ] which is up in the north somewhere, {D you know. } /",%
112012,"{C And, } I don't know # how, #",S
112018,"{C And, } [ they, + they ] advertised [ that, + that ] it was [ T I Bell, + T I Bell ] {C and then } all of a sudden, # Secorski got it, yeah. # /",S
112025,"{D Now } my personal opinion, - /I don't know.  /{F Uh, } {F uh, } here lately it seems, - /{D well } up until a few years ago, I guess, there just too many liberals about and  permitting too many, {F oh, } - /they just broaden the human rights [ to, + to ] cover just about [ ev-, + everybody, ] {C and } I don't think those guilty of committing capital crimes should be permitted to go spend a few years in jail and be turned lose on parole. /",S
112027,It's just not right. /,S
112035,"-- that, {F uh, } when we  [ go into a, + ] sit in on, a jury, - /I've never done it myself --",%
112041,"{C But, } {F uh, } I was called up as an alternate once,  /{C but } I --",S
112043,-- never made it to the jury. /,%
112048,"I never had either,  /{C but } I just wondered.  {F Uh, } - /another question was, [ should +  a criminal case, should ] the jury be unanimous on their decision,  /{C and } that I wasn't sure on either, whether it should be unanimous or not. /",S
112055,-- it permits the criminal to get a retrial. /,%
112057,"{C And } there, - /that's not too bad in this sense, because you might get someone in their that's a victim of circumstances -- /",%
112059,"-- {E I mean, } that's happened --",S
112061,"-- and giving them another trial might give them additional time to, {F uh, } prove their innocence. /",%
112065,We can't overlook the fact that there are innocent people that do get involved in jury trials. /,S
112068,-- some part of whatever they're accused of. /,%
112070,"[ I have, + I still have ] a little bit of a problem with that.  /{F Uh, } {C but, } I would suppose there are circumstances, you're in the wrong place at the right time, or know the wrong person at the right time. /",S
112073,"{F Uh, } out here in Texas we had [ [ a, + a, ] + a, ] great miscarriage of  justice.  /[ It was finally, + after nine years, it was finally, ] {F uh, } taken care of. /",S
112075,"We had, - /a Black man was accused simply because he resembled --",%
112077,"-- {F uh, } someone [ who stuc-, + who held ] up, a, Seven Eleven, I think it was. /",%
112085,"{C And } he could have [ disap-, + ] gotten away at lunch time --",S
112087,-- and committed the robbery. /,%
112089,"{C But } after nine years, - /{D well } as a matter of fact they made a T V show about it, after nine years, they finally came up with evidence [ and proved, + ] to prove that he was innocent. /",S
112093,{D Now } that just was not fair. /,S
112097,Yes. /,B
112098,"[ {C And, } +",S
112103,"Uh-huh.  /{C And } unfortunately, we just have to put up with a lot of things,  /{C and } they try to solve them and everything,  /{C but, } {F uh, } I don't know,  /the Supreme Court, - /{D well, } [ [ I'm, + I'm, ] + I'm ] still rancled about their decision to permit burning of the flag. /",B
112104,"{F Oh, } I think a lot of people are.  /I think they've lost sight of some things that are very important to our country. /",S
112107,-- not freedom of action. /,%
112109,"{C And, } {F uh, } {F uh, } {D well } that just rancles me  /no,  /I swear, if I ever saw somebody [ to, + ] {F uh, } burning a flag, [ I'd, + I'd ] try to kill them, I would. /",S
112111,"{D Well, } I happen to be a flag freak.  /[  I served, + I ] was in the service -- /",S
112113,-- I was in Korea -- /,S
112115,"-- {C and, } {F uh, } {D well, } I saw what the red in the flag represents. /",S
112117,Uh-huh. /,B
112118,"{C And, } {F uh, } [ I, + I ] feel like if [ they don't, + people don't ] like what our flag stands for, they're welcome to go some place else. /",S
112120,There's nobody holding them here. /,S
112123,Uh-huh. /,B
112124,Yeah. /,B
112125,"{D Well, } Jean, we seem to be of the same opinions here. /",S
112141,Yes. /,B
112142,-- on what does really happen.  Yeah. /,%
112145,They may not know that if you give him twenty years he can get out in five. /,S
112148,"-- {D you know, } [ what they're, + what they'd ] been guilty of, and a lot of different things, I guess. /",%
112150,Uh-huh.  /A lot slip through the protective whatever they have to do.  /{C And } there are bad ones that do slip back out and end up hurting somebody again. /,B
112151,Yes.  /They just go out and repeat their crimes. /,B
112152,"Uh-huh,  /uh-huh. /",B
112153,"{D Well } there, - /{D well, } they say after three offenses its automatically life in prison,  /{C but } I think they ought to make it two offenses. /",%
112155,Uh-huh. /,B
112156,"It seemed like [ there, + sometimes there's ] not a good, - /the balance isn't right.  /It doesn't make sense. /",S
112158,Uh-huh. /,B
112159,Race or nationality even. /,S
112161,"<<Pause>> {C But, } {F uh, } like you said, [ it's, + it's ] not the best system,  /{C but } it's the best one we've got. /",S
112163,Uh-huh. /,B
112164,"Improve it if we can, if we ever get a chance. /",S
112188,"# ahead, #  /[ you, + you ] first,  (( Eve )) . /",%
112198,"{F Uh, } where-, - /I guess I'm thinking of the easy thing to do --",%
112200,"-- [ for, + for ] having, {F uh, } {F uh, } dinner. /",%
112202,"I do cook,  /{C but } not, - /I'm mostly the easy cooker.  /{D You know, } the breakfasts [ and, +",S
112204,"# and ] # the steaks, {F uh. } /",%
112208,"So to speak,  /{C and } I haven't gotten around to that yet, {F uh, } /",%
112212,"Different rice and ham and things that, {F uh, }  /she would throw things together --",S
112214,"-- and (( galunkies ))  and all that.  /{C And, } {F uh, } I would like to try that one day.  /{C And } she would make spaghetti with pork chops [ and, + and ] special meat balls and everything.  /{C And } my wife,",%
112216,"of course, thinks I'm crazy, which I may be too  /{C but, } -/",%
112221,"Yeah,  /that's great. /",B
112222,"{C But } dinner parties are a lot of work, {F uh, } /",S
112224,# Yeah. # /,B
112225,"# a ] # lot better.  /People can entertain themselves, I think, a great deal more, {F uh, } when you have a barbecue.  Especially when you have hot dogs and  hamburgers and,",%
112227,"# {F uh, } # {D you know, } nothing really fancy, like [ your, + your ] shish kabobs, where you have to do a whole bunch of work. /",%
112229,# Uh-huh. # /,B
112230,"# you # get it ready,  /you have to do a lot of work beforehand, I agree, and  buy special stuff.   /{C But, } {F uh, } {C so } far as getting out there [ and, + and ] putting it on, it only takes [ a litt-, + a ] few minutes, {F uh. } /",S
112232,"{C But } {D anyway, } [ I'm, + I'm ] thinking of the easy way, rather than,",S
112236,# Right. # /,B
112237,"# housework # and get [ ev-, + everything ] prepared and utensils and [ just, + just ] everything. /",%
112239,"{F Uh, } {D you know, } my mother used to make an Armenian rice dish. /",S
112241,"I'm thinking about, {F uh, } special dishes,  /{C and, } {F uh, } yeah,  /it was made out of rice and consume soup, {F uh, } and bacon and onions. /",S
112243,{C And then } you'd simmer it {D like } all day long. /,S
112245,"{F Oh } it would, -/",%
112249,"Because [ you can, + you can ] put it on top of the stove, and do this,  /[ {C and, } + {C and } ] there's so much broth and juice in there,",%
112260,"Since we're trying to make everything so sim-, - /here I am talk about trying to make everything easy, {D you know. } /",S
112262,"I, {F uh, } - /you talked about Thanksgiving, there are interesting meals at different times.  /{F Uh, } something, s-, - /my wife's from Texas,  /{C so, } {F uh, } I remember we were first married  /{C and } we were living in New Jersey.  /{C And, } {F uh, } we were going over to my mother's house for Christmas, {D you know, } to have a meal. /",%
112264,"{C And } we were on the way over, - /we were just married that very year,  /{C and } she said, {F Oh, } I'm looking forward to a nice turkey.  /I said, Turkey? /",S
112274,"{C And, } {F uh, } that was surprising [ in the, + in the ] east, {F uh, }  /we always had ham, {D you know. } /",S
112276,"A-, - /[ {C and, } + {C and } ] that's one thing als-, - /that's another recipe, I guess, we could talk about.  /{D Now } the hams just kind of, {D you know, } go take it out of a can or, {F uh, } {F uh, } a package, sliced, {F uh, }  /the cans were cooked for hours and  hours  [ and, +  and ] --",%
112278,"-- were just wonderful, {D you know. } /",%
112280,"[ I, + I'd ] like to try that too. /",S
112282,Yeah. /,B
112283,"-- {F uh, } stores.  /{C And, } {F uh, } what they have is this honey baked ham, /",%
112285,"They, -/",%
112291,{C But } you cook it in the bag that they send it in. /,S
112299,"{C But } with this honey bake that they have, [ that, + that's ] the only one I have been able to find there at Sam's warehouse.  /It is absolutely delicious. /",S
112301,{C And } it slices great.  Uh-huh. /,S
112304,"# and, ] # {F uh, } {D actually, } pirogies and all that stuff that, {F uh, } - /[  I, + I ] wish I could tell you the name of the company,  /{C but } I don't know what it is.  /{C But, } {F uh, } they recently had a ham, that was supposed to be, - /it was boneless -- /",%
112306,"-- {C and } we tried it.  /It was real nice,  /{C and } it was fully cooked and  everything.  /We had it --",S
112308,-- for breakfast a long time.  /It was really great. /,%
112311,"{C But }  [ that's, +  that's ] the only ham I have found that I thoroughly, thoroughly enjoy. /",S
112314,"{C And } I remember that when I was a kid, {F uh, }",S
112316,"# to # have the ham cooking.  {F Uh, } rather than that, we just, - /ham is just something you have for breakfast occasionally, {D you know. } /",%
112318,"{C And } that's it, {D you know. } /",S
112322,# really # have it as a main meal. /,%
112325,-- good things. /,%
112331,"# {C and, } # {F uh, } getting, -/",%
112335,"-- and, {F oh, } fried foods galore.  /{C And then } gradually they started switching over to, {F uh, } plain rice, {F uh, } no gravy. /",%
112339,"-- one of the reasons which started them off.  /{C And } they started doing this, like [ in the early, + {E or } in about ] the middle seventies. /",%
112342,"# they'd go, - /# that they have started. - /Usually it's the younger people doing it.  /Yeah. /",%
112348,"# she # has high cholesterol.  /Of course, [ I ha-, + I have ] too,  but not like  hers. /",%
112350,"{C And } I always get after her about salt and everything else.  /{C And } she just will, {E I mean, } she's going to eat the same way she ate, {D you know, }",S
112352,"# her whole # life.  /{C And } she just tells, more or less tells me to shut up, {D you know. } /",%
112354,"{C And, } {F uh, } I like to, - /I'm trying to do something about my cholesterol in the same way. /",%
112356,"{F Uh, } /",%
112358,"# {F uh, } # [ it's, + it's ] not the  ((  )) - /. I listen to, {F uh, } Larry  (( Newarth ))  on the weekend.  /He's a fitness expert  /{C and, } {F uh, } he talks about, {D you know, } the chicken and the rice --",%
112360,"-- and everything else.  /[ {C And, } + {C and, } ] {F uh, } throwing away peanut butter and all [ the things + <laughter>,",%
112366,"My wife says she can't stand it.  /{C But, } {F uh, } when I make scrambled eggs now, talking about a recipe, -/",S
112368,"# I, - /# {D say } if I have four eggs, [ not, + not ] for me, - /{C but } if I'm making four eggs, {F uh, } even for my daughter [ and + ] [ I, + I'll ] take out all the yolks but one. /",%
112372,"In fact, [ when I, + when I ] make eggs for myself, [ if I, + if I ] fry them, throw them in there, I will almost hard fry them so I can [ take, + ] not eat the yolk at all. /",S
112374,"{C And } you don't really miss it.  /You get the flavor of the yolk,  /{C but, } {F uh } you don't eat it at all, {D you know. }  /You don't,  /they're hard.  /You get {D like, } {F uh, } a bite [ at, + at ] the [ m-, + most. ] /",S
112376,"{C And so, } {F uh, } for cholesterol, {E I mean, } I'm trying that.  /{C And } it has worked.  /My cholesterol gone down twenty points.  /{C So, } although, -/",S
112383,{C So } maybe we need to have more prisons or use the old army bases and make them into prisons or something.  /That's one thing I guess I could think of </child>. /,S
112385,"{F Uh, } it's definitely a big concern, /",S
112389,{C So } it's pretty scary. /,S
112392,"{F Um, } I know the bigger cities have problems with it. /",S
112396,Unless  --,S
112400,Uh-huh. /,B
112401,"That would be one thing that, {D you know, } I think could help is having the laws be changed so that they were more stiff penalties and more automatic penalties, {D you know, } for certain crimes </child>. /",S
112416,"{F Um, } I've heard of a few case up here,  /{C but } I can't say that I've heard of, {F uh, } {D you know, } any significant amount. /",S
112418,"{F Uh, } {C but } then again {D like } you don't know how many girls are reporting them or  not. /",S
112420,Uh-huh. /,B
112423,{C So } that's probably something else they could do. /,S
112430,"I know a lot of people <child> that partake in that.  /{C And } I'm not saying they're bad people,  /{C but } [ [ I, + I, ] + I ] would say that's a bigger problem. /",S
112432,Uh-huh. /,B
112433,"on drugs,  /{C and } it's definitely got to do with crime.  /{D You know, } you hear about people selling their babies, {D you know, } to get some crack. /",%
112437,"They said, {F uh, } some of the [ statis-, + statistics ] show like one out of every ten babies being born in these public hospitals are <child> addicted to crack,  /{C and } their moms are crack users.  /{C So } that's, {D you know, } another way of looking at it is as the woman is being a criminal, {D you know, } for doing that to her child. /",S
112439,"{C So } I don't know who's the victim there.  /{E I mean } the kids are the victim, it seems like a lot of times the women are victims because they're addicted.  /{C And, } it's a very complicated problem.  /I don't envy the government trying to cope with it.  Gosh. /",S
112442,"{F Uh, } /",%
112448,"[ I don't, + I don't ] know what they can do. /",S
112450,"Uh-huh.  /{D Well, } -/",B
112457,"-- and my husband,  /{E I mean } my husband's great. /",%
112459,"It's wonderful,",S
112461,"# {D you # know, }  /{C and, } {C and, } {F uh, } {C so } I'm about forty and whatever, /",%
112463,"{C So, } yeah. /",aa
112466,I passed <laughter> the fifty. /,S
112477,"-- {F uh, }  /{C and } from my mother's generation to my generation [ it's + [ just a very, very wide, + ] {F uh, } it's ] been a big change. /",%
112481,"-- {C and } ] since we were in, {F uh, } sort of the ground level, the bra burning of the sixties, -/",%
112483,"# [ {C and, } + {C and } ] # we didn't really know what the agenda was going to be --",S
112485,"-- {F uh, }  /{C and } I think, {D you know, } it got off to a really radical, - /it has a radical fringe to it that, {F uh, } I've sort of backed away from. /",%
112488,"{D You know, } they come in that way. /",S
112491,"{C But, } to continue in that vein, I think it got a little bit warped and off the track --",S
112493,"-- in several areas,  /{C but } I really do think that women have made a contribution --",%
112495,"-- {F uh, } to human beings, {E I mean } to be human and what it's like and have feelings and emotions  /{C and } it's okay  /{C and } I think, {F uh, } {D you know } on the other hand, I don't know that men have changed that much.  /{C So } [ in, + in ] contrast to the women's changes, {F uh, } {D you know, } the men stay steady, /",%
112497,# {C and # then } the women change around them. /,S
112501,"{C But } they don't have a national organization of men,",S
112503,"# to, # {F uh, } help them out  /{C and } ---- {F uh, } what's changing them, though, is the economic situation,# where # [ both --",%
112507,# {C and } # they both have to work -- /,S
112509,"-- {C and } they both have to raise the children,",S
112511,"# if # we're going to have any kind of future at all, /",%
112513,"# [ {C and, } + # {C and } ] that, I think has been the downfall of the last ten years. /",S
112515,"{D You know, } the me, {F oh, } - /I don't know,  /[ the, + the ] yuppiedom,",%
112517,"# the # whatever it was, the, {D you know, } women didn't know how to go about doing the careers  /{C and } they wanted to compete with men,  /they wanted to be like  men, /",%
112519,# {C and } # that's wrong. /,S
112521,"I think they finally discovered that they don't want to be like [ men, + men ]  /<laughter>,",S
112525,"# that # they've had to, {D you know, } restructure,  /{C but } I saw the greatest T-shirt the other day, /",%
112532,Yeah. /,B
112533,"{C But, } {F uh, } I think men and women both have [ valuable, + valuable ] assets to offer -- /",S
112535,"-- {C and, } {D you know, } we shouldn't, - /we were made differently,# however you # come to that conclusion,  /we were biologically, physiologically, made differently  /{C and } there is great wonderment,# in # that,  /{C and, } {F uh, } {D you know, } we should respect that in each other  /{C so, } -/",%
112538,"Yeah,  /yeah. /",B
112539,"[ {C And, } + {C and, } ] {D you know, } just sort of all [ s-, + swooshed ] into one channel --",S
112541,"-- sort of thing,  /[ it's, + it's ] viva la difference <laughter>,",%
112543,# someone said # that -- /,%
112545,"-- {C and } I think that you can truly respect the other person,  /{E I mean, } {D you know, } Tom is just always saying, what a mystery you are, {D you know } <laughter>, {D you know. }  /Depends, -/",S
112548,{D You know. } /,%
112553,"-- and our roles,  /[ {C and, } + {C but } ] it's still a challenge being in a marriage and  trying to figure out those roles  /{C and, } -/",%
112556,# Yeah. # /,B
112557,"# {D you # know, } the woman doesn't start off at home,",S
112559,"# raising # the kids and goes back into her career, {D you know, }",%
112581,I just love the babies -- /,S
112583,"-- [ {C and, } + {C and } ] since I'm sort of in a medical situation where I can't do that, it's, -/",S
112591,"[  {C And, } + {F uh, } {C so } ] there have been major, major adjustments, /",S
112593,# {C but } # that's another story. /,S
112595,"{C But, } {D you know, } my husband has [ really, really filled in the gaps,  /{E I mean } [ I, +",S
112599,"{E I mean } if this is the way it had to be,",S
112601,"# this # is the best way,",%
112603,"# I # could possibly do it  /[ {C and, } + {C and } ] that has a lot to do with his strength and his, just pitching in [ and, + and ] his being able to, {D you know, } all, all ego aside, do a lot of things --",%
112605,"-- that really, - /{C so, } when I say men haven't changed I guess I should look at my own backyard sort,",%
112612,# Uh-huh. # /,B
112613,# where # I couldn't do a lot of things --,%
112615,"-- and, {F uh, } just adjusting to that,",%
112617,"# [ that, + {F uh, } # {D yeah, }  that ] was a major change, /",%
112619,"# [ {C but } + # {C so, } ] I guess <breathing>,  {F uh, } in the end, {D you know, } you each take your own situation [ and you, + and you ] deal with it the best you can,  /[ [ {C but } + --",S
112627,"I think, -/",%
112630,# Uh-huh. # /,B
112631,# because # it's so dangerous. /,%
112635,"# {D you # know, } her life sort of falls apart  /{C and } she doesn't know who she is  /{C and } she's, -/",%
112643,"-- {D you know, } a woman's role is,",%
112647,"# sort # of thing, /",%
112649,"# {C and } # {D you know, } -/",%
112655,"# with # the good old boys,",%
112657,"# here # in Texas sort of thing,",%
112659,"# making # career moves  /{C but, }",%
112661,"{F Uh, } {D you know, } in terms of women staying home and being appreciated for their talents, {F uh, } it's just like the way [ it, + it ] has been for years.",%
112663,"{E I mean, } {D you know, } since the days of the pioneers, around here. /",%
112665,"That's the woman's role, /",S
112669,"{C And } I have women that do both  /{C and } I see a little jealousy on the part of, {D you know, } the woman what has two little boys  /[ {C and, } + {C and } ] she has an au pair, which is a live-in college kid working for her  /{C and then } she has her business in the back -- /",S
112673,"# all the time.  /# {C And so } I see I little bit of that  /{C and } I always wish there was a balance, {D you know, }",%
112675,"# with # the one [ and, + and ] wish she could spend more time with her kids  /{C and } the other gal I wish she could just get out of Dodge,",%
112677,# for # a while <laughter>. /,%
112682,That's ] where the trouble lies. /,%
112684,"[ Some people, + some people ] can adjust and have both, do both well, /",S
112690,"{C And, } they seem to do fine.  /She [ has been talk-, + has talked ] about quitting, {D you know, } and staying home for a few years.  /{C But } then, it's real hard because she's got an excellent job. /",S
112695,"everyone in the world does, I guess,  /{C and } occasionally it actually balances, <laughter>.  /{C And, } {F um, } [  [ we also, +   we, ] + {F um, } we ] have [ a, + a ] U S Air and Visa card. /",%
112697,"[ [ Every, + every ] dollar we, + every dollar we ] charge is a mile for our frequent flier mileage. /",S
112699,"It's a real good deal actually, if you charge a lot.   /{C So } [ what we, + what ] my wife and I have taken to doing is charging everything in sight.  /Anything we buy, we charge, including groceries and so forth. /",S
112701,"{C So } what we'll do is, -/",S
112705,"{C And so } what we do is, [ we + ] anytime we do or make or charge something, we write it out as if we wrote a check. /",S
112707,{C And then } at the end of the month all the money to  ((   ))  covered already.  /{C So } we just pay it off without having to worry about any interest or anything. /,S
112709,It keeps us hopping. /,S
112711,# Huh-uh. # /,B
112712,"# {C and, } # {F uh, } after I got married, - /no,  /it just didn't work anymore.  /She spends a lot.  /She likes to spend on anything and everything <laughter>.  With body lotion, everything <laughter>.  /{C So, } [ we really haven't, + we don't  have ] a good organized system, yet.  /Maybe after awhile I'll rub off on her or  something <laughter>.  /I don't think, -/",S
112715,"We did that for awhile where, {F um, } - /we actually still do it [ with, + with ] my wife's salary,# where # [ we put it, + we have ] [  a separate, + a third ] account even, a savings account [ in, + in ] an entirely different bank ---- where what we do is take money out of her paycheck every week.  /I'm a graduate student. /",S
112717,"{F Oh, } really.  /In what field? /",B
112718,"{D Well, } {F uh, } in information systems.  /I'm a voice researcher. /",S
112721,"{F Um, } {C but } my wife has a real job. /",S
112723,"Yeah  /<laughter>.  What we do is, we take money [ out of her, + out of her ] paycheck each week. /",B
112724,Huh-uh. /,B
112725,"{C And } [ put it, + it ] goes directly to another account, [ that we don't, + at an entirely different bank, that we don't ] have access to so easily,  /{C and } it goes there  /{C and } it stays there  /{C and } it builds up until we need it for something. /",S
112730,"{D You know, } {C and } that's it.  /{C And } I keep saying, now, Laura, you're going to have to save a little money.  /I don't know if my paltry graduate student fees are going to get us through.  /It doesn't work, Ken <laughter>. /",S
112732,"My mother always said, ""now, don't argue about money"",  /{C so } we don't. /",S
112734,"{C But, } {D you know, } there goes my savings <laughter>. /",S
112742,{D You know. } /,%
112745,"[ [ [  I, + {F uh, } I ] + {F uh, } I, ] + I ] go to, {F uh, } - /I pay what I think is a lot of money to go to a karate class, {D you know. } /",%
112747,"Right.  /Exactly,  /{C but } that to her is sort of like a waste. /",B
112748,Yeah.  /That's true. /,B
112749,"{C But } she does her nails.  /{C So, } -/",S
112754,"{C And then } she waits for them to get their color back.  /{C And then } she'll polish them again.  /I don't know, whatever.  /{C So } she stopped for awhile.  /Boy, what a difference.  /They buy nail polish every two weeks,  /it's, {F uh, } - /<laughter>, my gosh, /",S
112756,"# And # lotion, {F oh, } my goodness, body lotion, /",S
112758,"# we spend # more [ [ on soft, + on, ] + on ] body lotions with sesame oil and all these different things, than, {F uh, } - /[ she + ] must spend more on one application of body lotion than I do on soap for an entire year. /",S
112760,Yeah.  /It's funny. /,B
112766,"# I # think ] that's, {F uh, } -/",%
112772,"# we # actually live in two different places right now because she has her job.  /{C So } that makes it hard with, {F uh, } {D you know, } - /we're paying double rent, double utilities, /",S
112790,{D So. } -/,%
112795,"{C So } I say if she wants to go out and buy something, I never argue with her, because she's real good at, {D you know, } sort of  ((   )) . -/",S
112800,"# especially # yesterday or this past weekend.  /We met half way between, at her parents house  /{C and, } {F um, } she had on a new pair of jeans  /{C and } she'd gotten all new underwear,  /{C and } I was like, Laura.",%
112811,they ] take it out or your paycheck before you see it because it doesn't  hurt. /,%
112813,"{D You know, } you don't even think about it if it's gone. /",S
112815,"Yeah,  /{C so, } {F uh, } until you really need it - /{C and then } you realize, you've got a couple of thousand dollars built up someplace else. /",B
112816,"Yeah.  /Yeah,  /{D see } I was, - /[ when I had, + when I was ] living alone and I had my own house and things, {F uh, } [ I put one, + ] I was paid twice a month,  /one paycheck went into savings  /{C and } one went into the checking account that paid the mortgage,",B
112817,# Right. # /,B
112818,"# and # the food bills  /{C and } it, - /{C and } I was even able [ to, + {D you know, } to ] accumulate some savings in a sense in the checking account, because I'm pretty thrifty  /[ {C and, } + {D you know. }  {C But } ] my wife likes to spend.  /She enjoys, - /{C so } that's fine <laughter>.  /{C But } a - /(( for savings )) , I'll have to look into that. /",%
112820,Huh-uh. /,B
112821,"We've had some sort of major emergencies come up, {D you know, } where, - /we also own our own house, /",S
112823,"# {F um, } # we had an ice storm up here,",S
112825,"# recently, # where [ it was pathe-, + {E I mean, } it was horrible. ]  /{E I mean, } half the city  (( owned ))  trees  ((   )) .  /One-third of all vegetation in this county is just wiped out. /",%
112831,"We had to  ((   ))  our backyard tremendous willow tree that just fortunately, - /{C but } it cost us, {D you know, } a couple of hundred dollars just to bring the tree down.",S
